S	T
RHOJ	NGEF
SOX2	EPAS1
ARHGEF26	RHOB
FPR2	PPBP
CENPF	RRM2
RHOJ	ARHGEF19
EDNRB	GNG11
LSAMP	NTNG1
FYN	EGFR
BMP2	BMP5
LPL	FABP4
RHOB	ARHGEF19
ASPM	RRM2
ARHGEF26	RHOJ
ARHGEF15	RHOB
ADRB2	EGFR
FPR1	ARRB1
CDC20	MCM6
ASPM	CASC5
ANK2	SCN4B
CXCL12	SSTR1
LDLR	FZD4
UHRF1	HIST1H2BD
ITGA8	TNC
CDKN3	MELK
KIF2C	TTK
KIF11	NCAPH
CALCRL	GNG11
BMP2	CHRDL1
EDN1	AGTR2
COL10A1	COL3A1
COL13A1	COL1A2
EDNRB	GNG2
MYH11	RHOB
MYH11	MYH10
C5AR1	P2RY13
KRT4	KRT6A
PTPN21	FYN
ANLN	KIF11
EZH2	CBX7
GNG2	SSTR1
GRK5	GPR65
RRM2	BUB1
CALCRL	GNG2
IGLL5	FYN
COL13A1	COL5A1
KIF20A	SHCBP1
GRK5	EDNRB
MGAM	LILRB2
GRK5	KISS1R
RRM2	DLGAP5
COL13A1	COL3A1
P2RY13	PPBP
BUB1	ANLN
PTTG1	TPX2
PBK	CDKN3
CCL4	CXCR2
RAMP2	RAMP3
P2RY13	CXCR2
RHOJ	ARAP3
FCGR3B	CD52
NUSAP1	TPX2
NOTCH4	MFNG
GNG2	VIPR1
DYNC1I2	RAB11A
CDC20	HECW2
FZD4	EGFR
CYR61	TNC
COL13A1	COL1A1
OSCAR	CFP
VIPR1	GNG11
IL1B	IRAK3
RHOB	ARAP3
MGAM	MCEMP1
MCM4	NCAPG
FPR2	GRK5
PTGER4	GNG11
ICAM1	IRF1
FPR2	EDN1
GNG2	CXCR2
AGTR2	GNG11
EDN1	KISS1R
FPR2	CXCL12
EDN1	GPR65
RHOJ	ARAP2
FPR2	MGAM
CCL4	CXCL3
ADRB2	GNG11
ITGAL	MCEMP1
ADRB1	GNG2
FPR1	GNG2
MCM7	FEN1
FGR	S1PR1
EDN1	ADRB2
ASPM	NEK2
FPR1	GNG11
AGTR1	GNG2
FPR1	PPBP
GNG11	KISS1R
GNG2	KISS1R
FPR1	EDN1
CXCL12	AGTR2
ADRB1	GNG11
COL1A2	PLOD2
FPR2	GNG2
RAP1A	NTRK2
FBLN5	FBLN1
CXCL12	CXCR2
FPR2	GNG11
CXCR2	GNG11
RAP1A	ARAP3
GNG2	PTGER4
AGTR1	EDN1
CCL4	PPBP
FPR1	CXCL12
ARAP2	RHOB
RAB23	RAB11A
LRRK2	EGFR
AGTR2	GNG2
SSTR1	GNG11
CXCL12	ADRB2
GNG2	GPR65
AGTR1	GNG11
GPR65	GNG11
MMP9	PPBP
COL13A1	COL10A1
ITGA1	TNS1
HBB	PPBP
CD36	CLEC12A
OSCAR	PPBP
COL4A3	COL10A1
TLR4	S100A8
COL4A3	COL1A2
C5AR1	PPBP
CFD	SERPING1
ASPM	CCNB2
PRC1	NCAPH
MMRN1	VWF
PBK	HMMR
RHOJ	DLC1
COL4A3	COL5A2
OSCAR	MMP9
C5AR1	CXCR2
COL4A3	COL11A1
CEP55	UBE2C
COL4A3	COL1A1
GRIA1	TSPAN7
LSAMP	THY1
CCL4	ADRB2
TGFBR2	CAV1
COL4A3	COL5A1
KIF20A	MKI67
COL5A1	COL10A1
KIF4A	NDC80
SMC4	HIST1H2BD
COL4A3	COL3A1
COL13A1	COL11A1
COL5A1	COL11A1
CEP55	NDC80
SLPI	TCN1
CCL4	P2RY13
SDC1	COL1A1
PPBP	CFP
RHOJ	ARHGAP29
FPR2	CD93
FPR2	GPR65
RAB8B	RAB11A
CCL4	SSTR1
KIF20A	MELK
KIF14	RHOB
RRM2	CCNB2
KIF2C	CEP55
STARD13	RHOJ
KIF4A	UBE2C
NEK2	RAB11A
MFAP4	EFEMP1
CEP55	MELK
ANLN	DLGAP5
ECT2	RHOJ
COL13A1	COL4A3
CCNE2	AURKA
BMP2	SMAD6
MCM3	RRM2
COL13A1	PLOD2
SLIT2	CXCL12
DES	TNNC1
CDC20	ZBTB16
CENPF	CCNA2
SEPP1	RARRES2
CCL4	AGTR2
ITGAL	CD93
TTK	TPX2
EFEMP1	FBLN5
ARHGEF10	RHOJ
CCL4	CXCL5
NEDD4L	CDC20
PBK	PTTG1
ARHGEF10	RHOB
PRELP	OGN
ELMO1	KDR
PTPRB	CD93
MGAM	CD93
SEMA5A	THBS2
PTTG1	CDKN3
AOX1	ADH1B
MYH11	SORBS1
DYNLRB2	IFT57
CDK1	RAB11A
CCL4	FOS
EZH2	HIST1H2BD
FPR2	CD36
MELK	KIF11
HMMR	CEP55
PPARG	FABP4
KIF2C	DLGAP5
COL4A3	PLOD2
GNG2	PRKCB
FPR2	ITGAL
NEGR1	THY1
RAMP2	GNG11
PPARG	EGR1
PLAC8	MNDA
DYNC1I2	KIF20A
SHC3	EGFR
AKR1B10	SORD
SNX1	CDH1
ITGAL	PTPRB
BUB1	NCAPH
ACTR2	EGFR
GNG2	S1PR1
RARRES2	TIMP3
DYNC1I2	KIF15
COL6A6	COL1A2
RHOJ	ARHGAP31
MMP9	TCN1
CD36	ITGAL
CYR61	IL6
RAB23	RAB8B
RMI2	BRIP1
SPTBN1	FYN
CD36	MCEMP1
PPBP	GNG11
COL6A6	PLOD2
SLIT2	SLIT3
SPTBN1	NFASC
LDLR	ARRB1
COL1A2	ITGA1
ITGA1	COL1A1
MCEMP1	OLR1
SEPP1	TIMP3
ANXA1	GNG11
SDC1	COL5A1
GIMAP8	GIMAP4
FOS	PPARG
RHOB	ARHGAP29
DYNC1I2	KIF2C
